"Category","Subcategory","Name","PackageID","DefaultChecked","PackageManager","Notes"
"Internet","Chromium-based","Chrome","googlechrome","TRUE","choco",""
"Internet","Gecko","Firefox","firefox","TRUE","choco",""
"Internet","Chromium-based","Floorp","floorp","FALSE","choco","based on firefox"
"Internet","Chromium-based","Librewolf","librewolf","FALSE","choco",""
"Internet","Chromium-based","Opera","Opera.Opera","FALSE","winget",""
"Internet","Chromium-based","Vivaldi","vivaldi","FALSE","choco",""
"Internet","Chat","Discord","Discord.Discord","TRUE","winget",""
"Internet","Chat","Skype","skype","FALSE","choco",""
"Internet","Chat","Slack","slack","FALSE","choco",""
"Internet","Video","Zoom","Zoom.Zoom","FALSE","winget",""
"Internet","Download manager","Free Download Manager","SoftDeluxe.FreeDownloadManager","FALSE","winget","HTTP/BT download manager GUI (complements yt-dlp CLI)"
"Internet","BitTorrent","qBittorrent","qbittorrent","FALSE","choco","stable Chocolatey build was newer than winget beta when compared"
"Internet","Command line","yt-dlp","yt-dlp","TRUE","choco","youtube downloader"
"Development","Editors and IDEs","Cursor","Anysphere.Cursor","FALSE","winget",""
"Development","Editors and IDEs","Jetbrains Toolbox","jetbrainstoolbox","TRUE","choco",""
"Development","Editors and IDEs","Unity Hub","Unity.UnityHub","FALSE","winget",""
"Development","Editors and IDEs","Visual Studio Code","Microsoft.VisualStudioCode","TRUE","winget",""
"Development","Git and merge","Beyond Compare","beyondcompare","TRUE","choco","merge"
"Development","Git and merge","Git","git","TRUE","choco",""
"Development","Git and merge","GitKraken","Axosoft.GitKraken","FALSE","winget",""
"Development","Git and merge","WinMerge","winmerge","TRUE","choco","merge"
"Development","Languages and SDKs",".NET SDK Preview","Microsoft.DotNet.SDK.Preview","TRUE","winget",""
"Development","Languages and SDKs","Python 2.x","python2","FALSE","choco",""
"Development","Languages and SDKs","Python 3.x","python3","TRUE","choco",""
"Development","Platform","Docker Desktop","docker-desktop","FALSE","choco",""
"Development","Platform","WSL 2","Microsoft.WSL","TRUE","winget","Windows Subsystem for Linux; install a distro after (e.g. Ubuntu from Store or winget)"
"Development","Fonts","Fira Code Nerd Font","nerd-fonts-firacode","TRUE","choco","font (ligatures + icon glyphs; use in Windows Terminal)"
"Development","Terminal","KiTTY","kitty","TRUE","choco",""
"Development","Terminal","Windows Terminal","Microsoft.WindowsTerminal","TRUE","winget",""
"Games","Store clients","Battle.net","battlenet","FALSE","choco",""
"Games","Library and tools","Borderless Gaming","borderlessgaming","FALSE","choco",""
"Games","Library and tools","Cheat Engine","cheatengine","FALSE","choco",""
"Games","Store clients","EA Origin","origin","FALSE","choco",""
"Games","Store clients","Epic Game Store","epicgameslauncher","FALSE","choco",""
"Games","Store clients","GOG Galaxy","goggalaxy","FALSE","choco",""
"Games","Store clients","Itch","itch","FALSE","choco",""
"Games","Library and tools","Playnite","playnite","FALSE","choco",""
"Games","Library and tools","Reshade","reshade","FALSE","choco",""
"Games","Library and tools","RetroArch","retroarch","FALSE","choco",""
"Games","Store clients","Steam","steam","TRUE","choco",""
"Games","Store clients","Ubisoft Connect","ubisoft-connect","FALSE","choco",""
"Hex Editor","Commercial","010Editor","010editor","FALSE","choco",""
"Hex Editor","Free","HxD","hxd","TRUE","choco",""
"Hex Editor","Free","ImHex","WerWolv.Imhex","TRUE","winget",""
"Media","Media Creation","Blender","blender","TRUE","choco",""
"Media","Media Creation","Inkscape","inkscape","FALSE","choco","vector art"
"Media","Media Creation","Kdenlive","KDE.Kdenlive","TRUE","winget",""
"Media","Media Creation","OBS Studio","obs-studio","TRUE","choco",""
"Media","Media Creation","Paint.net","paintdotnet","TRUE","choco",""
"Media","Media Creation","Tenacity","tenacity","TRUE","choco",""
"Media","Media Playback","FastStone Image Viewer","fsviewer","TRUE","choco",""
"Media","Media Playback","ImageGlass","DuongDieuPhap.ImageGlass","FALSE","winget",""
"Media","Media Playback","K-Lite Codec Pack (Full)","k-litecodecpackfull","TRUE","choco","includes mpc-hc"
"Media","Media Playback","Kodi","kodi","FALSE","choco","living room media player"
"Media","Media Playback","Spotify","spotify","TRUE","choco",""
"Media","Media Playback","VLC (Nightly)","vlc-nightly","TRUE","choco",""
"Media","Media Playback","yacreader","yacreader","TRUE","choco","comic reader"
"Media","Media Tools","Calibre","calibre","FALSE","choco","ebook manager"
"Media","Media Tools","Handbrake","handbrake","FALSE","choco","encode videos"
"Media","Media Tools","MKVToolnix","mkvtoolnix","FALSE","choco",""
"Media","Media Tools","Strawberry","strawberrymusicplayer","TRUE","choco",""
"Media","PDF","Acrobat Reader DC","adobereader","TRUE","choco",""
"Media","PDF","Foxit PDF Reader","foxitreader","FALSE","choco",""
"Media","PDF","SumatraPDF","SumatraPDF.SumatraPDF","FALSE","winget",""
"Media","Notes and editors","Logseq","logseq","FALSE","choco",""
"Media","Notes and editors","MarkdownPad","markdownpad2","TRUE","choco",""
"Media","Notes and editors","Notepad++","notepadplusplus","TRUE","choco",""
"Media","Notes and editors","Obsidian","obsidian","TRUE","choco",""
"Runtime",".NET",".NET Runtime 3.1","Microsoft.DotNet.DesktopRuntime.3_1","TRUE","winget",""
"Runtime",".NET",".NET Runtime 5","Microsoft.DotNet.DesktopRuntime.5","TRUE","winget",""
"Runtime",".NET",".NET Runtime 6","Microsoft.DotNet.DesktopRuntime.6","TRUE","winget",""
"Runtime",".NET",".NET Runtime 7","Microsoft.DotNet.DesktopRuntime.7","TRUE","winget",""
"Runtime",".NET",".NET Runtime 8","Microsoft.DotNet.DesktopRuntime.8","TRUE","winget",""
"Runtime","Other","Java Runtime","javaruntime","TRUE","choco",""
"Runtime","Other","VC++ Redist (All)","vcredist-all","TRUE","choco",""
"Security","Password managers","1Password","AgileBits.1Password","FALSE","winget","Stable desktop app; use extension pickers for browser plugins"
"Security","Password managers","Bitwarden","Bitwarden.Bitwarden","FALSE","winget","Desktop app; use extension pickers for browser plugins"
"Security","Password managers","Dashlane","Dashlane.Dashlane","FALSE","winget","Desktop app; use extension pickers for browser plugins"
"Security","Password managers","KeePassXC","keepassxc","FALSE","choco",""
"Security","Password managers","LastPass","LastPass.LastPass","FALSE","winget","Desktop app; use Firefox/Chromium extension pickers for browser plugins"
"Security","Privacy","O&O ShutUp10++","shutup10","TRUE","choco",""
"Security","Other","Tailscale","Tailscale.Tailscale","FALSE","winget",""
"Security","Other","VeraCrypt","veracrypt","FALSE","choco",""
"System Enhancements","Power user","AutoHotkey v2","AutoHotkey.AutoHotkey","FALSE","winget",""
"System Enhancements","Launcher and clipboard","CopyQ","hluk.CopyQ","TRUE","winget","improved clipboard"
"System Enhancements","Power user","Directory Opus","directoryopus","TRUE","choco","essential file manager but is shareware"
"System Enhancements","Display and desktop","Display Fusion","displayFusion","TRUE","choco","multiple monitors"
"System Enhancements","Power user","Everything (Alpha)","voidtools.Everything.Alpha","TRUE","winget","search - supported by many other apps"
"System Enhancements","Capture","Flameshot","Flameshot.Flameshot","TRUE","winget","screenshot"
"System Enhancements","Launcher and clipboard","Flow Launcher","flow-launcher","TRUE","choco","improved power toys run"
"System Enhancements","Power user","PowerToys","powertoys","TRUE","choco",""
"System Enhancements","Capture","ShareX","sharex","TRUE","choco","screenshot"
"System Enhancements","Display and desktop","StartAllBack","StartIsBack.StartAllBack","TRUE","winget","best taskbar app"
"System Enhancements","Power user","System Informer (nightly)","systeminformer-nightlybuilds","TRUE","choco","improved task manager"
"System Info","Sensors","CPU-Z","cpu-z","TRUE","choco",""
"System Info","Storage","Crystal Disk Mark","CrystalDewWorld.CrystalDiskMark","TRUE","winget",""
"System Info","Sensors","GPU-Z","gpu-z","TRUE","choco",""
"System Info","Sensors","HWiNFO64","REALiX.HWiNFO","TRUE","winget",""
"System Info","Sensors","HWMonitor","hwmonitor","TRUE","choco",""
"System Info","Sensors","PCI-Z","pci-z","FALSE","choco",""
"System Info","Processes","Process Explorer","Microsoft.Sysinternals.ProcessExplorer","TRUE","winget","Sysinternals"
"System Info","Storage","WinDirStat","WinDirStat.WinDirStat","TRUE","winget",""
"Utilities","Uninstall and shell","BCUninstaller","Klocman.BulkCrapUninstaller","TRUE","winget","Bulk Crap Uninstaller"
"Utilities","Cloud","Google Drive","Google.GoogleDrive","TRUE","winget",""
"Utilities","Other","LocalSend","LocalSend.LocalSend","FALSE","winget",""
"Utilities","Archives","Nanazip","NanaZip","TRUE","choco","7-zip fork with better gui"
"Utilities","Other","Qalculate!","qalculate","TRUE","choco","calculator"
"Utilities","Hardware","Rufus","rufus","FALSE","choco",""
"Utilities","Hardware","Samsung Magician","samsung-magician","FALSE","choco",""
"Utilities","Uninstall and shell","ShellExView","shexview.install","TRUE","choco","clean up shell items such as context menus"
"Utilities","Other","Sysinternals","sysinternals","FALSE","choco",""
